"",bin,full_add,point,precision
25764,490121450183,"ПАВЛОДАР,ул. Торайгырова,д.79",76.953532 52.296578,exact
25772,490127300922,"ПАВЛОДАР,ул. Максима Горького, д. 29/1",76.94498 52.2707,exact
25865,490411450087,"ПАВЛОДАР,ул. Тугель-Батыра, д 170, кв. 1",76.940722 52.285577,other
25926,490606450057,"ПАВЛОДАР,пр.Тауелсыздык,30",76.965776 52.284823,exact
25955,490709450146,"ПАВЛОДАР,ул. Р. Люксембург, д. 113 ТД Гуливер, б. 206",76.922486 52.317618,street
26032,490913350258,"ПАВЛОДАР,ул.Естая,38",76.942941 52.281027,exact
26036,490915402106,"ПАВЛОДАР,ул. Батурина, д. 1/1 м-н ""Копейка""",76.909586 52.307828,number
26125,491203400032,"ПАВЛОДАР,Естая,38",76.942941 52.281027,exact
26161,491227450208,"ПАВЛОДАР,Академика Чокина,38/1",76.95143 52.267978,exact
26201,500113400957,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
26246,500205401836,"ПАВЛОДАР,1 мая,15/1",76.952571 52.293124,number
26279,500228400843,"ПАВЛОДАР,Карагандинская,1",76.993588 52.298142,exact
26310,500313450019,"ПАВЛОДАР,ул. Ломова,д. 164/8",76.998466 52.266429,exact
26311,500314350117,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 170",76.940722 52.285577,other
26377,500421450066,"ПАВЛОДАР,Камзина,358/3",76.994316 52.241278,exact
26380,500424350026,"ПАВЛОДАР,Восточный промрайон,-",77.054736 52.273142,other
26405,500507401184,"ПАВЛОДАР,ул.Ак.Сатпаева, д.63, бут.59",76.942375 52.283087,exact
26463,500623400147,"ПАВЛОДАР,ул.Кутузова,287/2",76.98951 52.24113,exact
26626,501022301065,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
26690,501201401827,"ПАВЛОДАР,ул. П. Школьный,д. 9/1",76.940722 52.285577,other
26699,501209450086,"ПАВЛОДАР,Кутузова,2",76.964716 52.296561,exact
26727,501230400311,"ПАВЛОДАР,Академика Сатпаева,29/1",76.941162 52.290767,exact
26762,510115401046,"ПАВЛОДАР,ул. Кутузова,д. 41",76.968264 52.285522,exact
26781,510127300067,"ПАВЛОДАР,ул. Ледовского,10",76.921821 52.308005,number
26787,510131350273,"ПАВЛОДАР,ул. Ростовская,д. 38",76.989186 52.294529,exact
26796,510204450355,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
26832,510225400719,"ПАВЛОДАР,ул.Ак.Сатпаева, д.36, оф.41",76.939428 52.293394,exact
26989,510525401739,"ПАВЛОДАР,Ак. Сатпаева,130",76.940183 52.283891,exact
27034,510625300014,"ПАВЛОДАР,ул. 1 Мая,288",76.953469 52.26482,exact
27067,510716350075,"ПАВЛОДАР,Р.Люксембург,113",76.967303 52.270265,exact
27118,510815401597,"ПАВЛОДАР,пр.Тауелсiздiк, д.30, ТД ""Тулпар"", бут.204",,none
27163,510911450081,"ПАВЛОДАР,ул. Ломова,160",76.98235 52.26558,exact
27164,510912400113,"ПАВЛОДАР,Проспект Тауелсiздiк,41",76.968264 52.285522,exact
27204,511009400837,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
27205,511009450467,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
27298,511126450027,"ПАВЛОДАР,ул.Естая,81",76.960323 52.280652,exact
27434,520128450156,"ПАВЛОДАР,Украинская,101/1",77.00903 52.293311,exact
27558,520327300819,"ПАВЛОДАР,ул. Сураганова, д. 19",76.972891 52.2933,number
27643,520509450395,"ПАВЛОДАР,1 Мая,д. 280",76.953272 52.2687,exact
27714,520625401279,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, вагон 8",76.964159 52.294226,exact
27774,520804300732,"ПАВЛОДАР,проспект Тәуелсіздік,д. 41",76.968264 52.285522,exact
27868,520917400024,"ПАВЛОДАР,ул. Сураганова, д. 2/2, кв. н/п 10",76.972504 52.296836,exact
28209,530303450098,"ПАВЛОДАР,Академика Сатпаева,40",76.939788 52.291483,exact
28241,530315450045,"ПАВЛОДАР,Торайгырова,64",76.958104 52.297756,exact
28275,530403400097,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
28333,530429450223,"ПАВЛОДАР,ул.Тауәлсізік проспект, 1 вагонный ряд,д.41",76.968264 52.285522,exact
28464,530712400037,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
28492,530728300444,"ПАВЛОДАР,Ак. Чокина,99",76.962551 52.267956,exact
28635,531008450405,"ПАВЛОДАР,ул. 1 Мая,д. 2/1",76.950541 52.297426,exact
28684,531030300620,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
28727,531117300623,"ПАВЛОДАР,Каирбаева,34",76.94189 52.286784,exact
28786,531216350023,"ПАВЛОДАР,Камзина,18",76.981407 52.288409,exact
28828,540101400681,"ПАВЛОДАР,1Мая,4",76.950855 52.295151,exact
28927,540131400328,"ПАВЛОДАР,Розы Люксембург,113",76.967303 52.270265,exact
29108,540403450293,"ПАВЛОДАР,ул. 1 Мая, д. 21/1 Береке, б. 5",76.919234 52.315938,exact
29263,540601400719,"ПАВЛОДАР,1 Мая,15/1",76.952571 52.293124,number
29335,540701400029,"ПАВЛОДАРСКОЕ,Мира,13",,none
29376,540720401477,"ПАВЛОДАР,пр.Тауелсiздiк, д.89, ателье ""ЯЯ""",76.969827 52.275351,exact
29388,540725400129,"ПАВЛОДАР,Северный пром.район,1050",76.920869 52.366008,other
29431,540813400602,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
29569,541006400618,"ПАВЛОДАР,Ермакова,50",76.896282 52.320607,exact
29643,541103400536,"ПАВЛОДАР,Естая,132",76.959614 52.282057,exact
29731,541204400822,"ПАВЛОДАР,Ломова,179/1",76.987812 52.264423,exact
29735,541205400560,"ПАВЛОДАР,1 Мая,15/1",76.952571 52.293124,number
29781,541219400854,"ПАВЛОДАР,г. Павлодар, ул. Генерала Дюсенова, д. 119, кв. (офис) 2этаж от",76.946947 52.277947,exact
29797,541230350021,"ПАВЛОДАР,Лермонтова,109",76.964078 52.291009,exact
29974,550217350139,"ПАВЛОДАР,Камзина,171",76.985629 52.262251,exact
30172,550412401355,"ПАВЛОДАР,проспект Тауелсыздык д.41 ТД АРТУР 2,41",76.964716 52.296561,number
30208,550424350471,"ПАВЛОДАР,Жилкыбаева,13А",76.940722 52.285577,other
30242,550505401509,"ПАВЛОДАР,Розы Люксембург,113",76.967303 52.270265,exact
30263,550514450128,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, ТД Артур, б.101А",,none
30354,550620400149,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
30431,550720450080,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
30459,550801402576,"ПАВЛОДАР,ул.1 Мая,21",76.952032 52.292309,exact
30473,550807300163,"ПАВЛОДАР,Абая,42",76.955841 52.268689,street
30490,550813400496,"ПАВЛОДАР,ул. Иссык-Кульская, д. 45 А",76.994881 52.294,number
30580,550913400569,"ПАВЛОДАР,пр.Тауелсiздiк, д.168",76.969244 52.262791,exact
30608,550919350056,"ПАВЛОДАР,ул. Чкалова,д. 16",76.97917 52.298538,exact
30621,550923450113,"ПАВЛОДАР,Ак.Сатпаева,253",76.94401 52.265487,exact
30776,551118401429,"ПАВЛОДАР,ул. Торайгырова, д. 113, бут. 20",76.933122 52.298021,exact
30835,551209450015,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, бут.№6.228",76.975855 52.249412,exact
30924,560103350160,"ПАВЛОДАР,ул. Торайгырова,д. 85",76.956676 52.296605,exact
30970,560112401782,"ПАВЛОДАР,ул.Камзина, д.171, б.210А",76.985 52.258183,number
31012,560123401554,"ПАВЛОДАР,Камзина,165",76.98527 52.263998,exact
31071,560207401154,"ПАВЛОДАР,Камзина,70",76.981892 52.281814,exact
31171,560305400872,"ПАВЛОДАР,ул. Кутузова, д. 204",76.972289 52.251358,exact
31234,560320450018,"ПАВЛОДАР,проспект Тауелсіздік,75",76.940722 52.285577,other
31258,560401300045,"ПАВЛОДАР,ул. Лермонтова,83",76.953891 52.289863,exact
31311,560413450445,"ПАВЛОДАР,ул. Ломова,64",76.966899 52.265531,exact
31319,560416401202,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 41",76.968264 52.285522,exact
31355,560428300331,"ПАВЛОДАР,ул. М.Горького,д. 27",76.943821 52.271075,exact
31479,560607350031,"ПАВЛОДАР,Короленко,1",76.956137 52.296087,exact
31507,560616401029,"ПАВЛОДАР,ул. М.Горького,д. 41",76.952301 52.271433,exact
31508,560616450087,"ПАВЛОДАР,ул. Ак. Бектурова,д. 107",76.94851 52.283269,exact
31532,560625400367,"ПАВЛОДАР,ул. Генерала Дюсенова,д.144",76.946238 52.274762,exact
31538,560630400146,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
31576,560712300591,"ПАВЛОДАР,ул. Кутузова,д. 75",76.969675 52.279038,exact
31618,560726400029,"ПАВЛОДАР,ул. Павлова, д. 36/3, кв., бут. 10",76.977535 52.296715,near
31653,560804400815,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
31679,560810499024,"ПАВЛОДАР,Камзина,74",76.979233 52.280382,exact
31899,561020450496,"ПАВЛОДАР,ул.Торайгырова, д.76/1, бут.9А",76.929529 52.296947,near
31944,561101300522,"ПАВЛОДАР,1 Мая,17",76.952849 52.292573,exact
31955,561103450010,"ПАВЛОДАР,ул.Р.Люксембург, д.113, ТД ""ГУЛЛИВЕР"", б.207",,none
31997,561116400838,"ПАВЛОДАР,Павлова,34",76.974517 52.290089,exact
32104,561215450038,"ПАВЛОДАР,ул.Катаева,109",76.976295 52.25858,exact
32107,561216400821,"ПАВЛОДАР,ул. Академика Сатпаева,д.35",76.941477 52.288684,exact
32303,570127450194,"ПАВЛОДАР,ул. Ак. Бектурова,д. 75",76.947783 52.288607,exact
32425,570220301715,"ПАВЛОДАР,Майры,1",76.942357 52.251138,exact
32447,570224401763,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, бут.404",76.97042 52.264373,street
32449,570224450117,"ПАВЛОДАР,Ак.Сатпаева,32",76.939482 52.294523,exact
32509,570308402301,"ПАВЛОДАР,1 Мая,21",76.952032 52.292309,exact
32852,570603300665,"ПАВЛОДАР,ул.Катаева, д.113",76.976412 52.257411,exact
32860,570604400394,"ПАВЛОДАР,ул. Торайгырова,28/1",76.934937 52.297503,exact
32895,570613450210,"ПАВЛОДАР,Академика Сатпаева,35",76.941477 52.288684,exact
32921,570620400440,"ПАВЛОДАР,ул. Ак. Бектурова, д. 21",76.94728 52.294975,exact
32997,570706350170,"ПАВЛОДАР,ул.Толстого, д.132",76.989141 52.277153,exact
33003,570707450043,"ПАВЛОДАР,Торайгырова,76/1",76.967995 52.299012,exact
33131,570809450246,"ПАВЛОДАР,Розы  Люксембурга,113",76.967303 52.270265,exact
33202,570826401042,"ПАВЛОДАР,Камзина д. 21,21",76.98191 52.291202,number
33255,570909401142,"ПАВЛОДАР,Абая,220",76.955104 52.274756,exact
33373,571005450119,"ПАВЛОДАР,ул. Паврковая, д. 37, АЗС",76.978739 52.242856,exact
33408,571012450098,"ПАВЛОДАР,Павлова,1",76.977796 52.295256,exact
33421,571015401819,"ПАВЛОДАР,Каирбаева,76",76.954619 52.2875,exact
33458,571024401352,"ПАВЛОДАР,ул.Камзина, д.171, ТД ""Караван"", бут.242",,none
33528,571110450645,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
33633,571205400191,"ПАВЛОДАР,ул. Камзина,223А",76.985746 52.256893,number
33636,571206300015,"ПАВЛОДАР,Славгородская,118",76.98562 52.249682,near
33674,571215450100,"ПАВЛОДАР,Торайгырова,76/1",76.967995 52.299012,exact
33715,571224450219,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
33771,580102400129,"ПАВЛОДАР,ул. Ворушина,д. 14",76.995286 52.255272,exact
33825,580110450416,"ПАВЛОДАР,ул. Мира,40/2",76.947549 52.299221,exact
33900,580125450245,"ПАВЛОДАР,Камзина,39",76.982745 52.285792,exact
34031,580219350036,"ПАВЛОДАР,ул.Камзина,49",76.983203 52.280481,exact
34099,580301402602,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
34116,580303450336,"ПАВЛОДАР,ул. КАЖИМУКАНА,131",75.458933 53.334618,street
34180,580313450340,"ПАВЛОДАР,ул. Академика Сатпаева,д. 136",76.940614 52.283098,exact
34226,580323301271,"ПАВЛОДАР,ул.Циолковского,31",76.996768 52.271494,exact
34235,580324450142,"ПАВЛОДАР,ул.Естая, д.81, ТД ""Квазар"", бут.313",,none
34236,580325400012,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
34274,580405400502,"ПАВЛОДАР,ул. Комсомольская, д. 81",76.992196 52.290464,exact
34305,580413401712,"ПАВЛОДАР,ул. Камзина. д. 171, кв. 205 а",76.985629 52.262251,exact
34334,580420301902,"ПАВЛОДАР,ул.Кривенко, д.87/2, кв.47",76.963638 52.285159,number
34393,580502301610,"ПАВЛОДАР,ул. Тауелсыздык проспект,69",76.969477 52.281021,exact
34467,580517450181,"ПАВЛОДАР,ул.Торайгырова, д.56, ТД ""Барыс"", бут.104",,none
34545,580604400544,"ПАВЛОДАР,ул. Ломова,164/11",76.987075 52.265878,exact
34576,580610400232,"ПАВЛОДАР,ул. Розы Люксембург, д. 113, бут. 225",76.953559 52.269796,street
34586,580612401000,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
34792,580809400965,"ПАВЛОДАР,ул.Торайгырова, д.14",76.931227 52.298186,exact
34891,580902450312,"ПАВЛОДАР,ул. Торайгырова,д. 76/1",76.967995 52.299012,exact
34893,580903401347,"ПАВЛОДАР,ул. Торайгырова,д. 6",76.925855 52.297459,exact
34900,580905401569,"ПАВЛОДАР,ул. Павлодарское Октябрьская,д. 53/1",76.861509 52.387839,exact
34942,580913400801,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
35034,581001403117,"ПАВЛОДАР,ул. Камзина,364",76.998771 52.240165,exact
35037,581002300280,"ПАВЛОДАР,Кутузова,58",76.968893 52.265939,exact
35262,581113301361,"ПАВЛОДАР,Кутузова,41",76.968264 52.285522,exact
35371,581130450061,"ПАВЛОДАР,Торайгырова,6",76.925855 52.297459,exact
35391,581203400498,"ПАВЛОДАР,Привокзальная,1",76.970582 52.299546,exact
35555,590102302804,"ПАВЛОДАР,Центральный промышленный район,-",77.015363 52.27037,other
35593,590105450341,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
35814,590207450376,"ПАВЛОДАР,ул. Академика Чокина,143",76.971723 52.267449,exact
35889,590219301169,"ПАВЛОДАР,Бекхожина,3/3",76.95364 52.249384,number
35914,590222400252,"ПАВЛОДАР,Ахметова,24",76.905346 52.311259,exact
35929,590224400550,"ПАВЛОДАР,1 мая,15/5",76.952571 52.293124,number
35961,590301450034,"ПАВЛОДАР,Тауелсiздiк проспект,42",76.967609 52.277065,exact
35967,590303350024,"ПАВЛОДАР,Катаева,111/4",76.97634 52.257808,number
36023,590310450465,"ПАВЛОДАР,пр.Н.Назарбаева,283/1",76.988953 52.242062,exact
36148,590401402529,"ПАВЛОДАР,Тауелсыздык проспект,41",76.968264 52.285522,exact
36297,590425402321,"ПАВЛОДАР,ул. Чкалова,120",77.001107 52.299056,exact
36321,590428450183,"ПАВЛОДАР,ул. Торговая,д. 4",76.93305 52.305741,exact
36495,590526400493,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 336/1",76.943085 52.260515,number
36642,590621450149,"ПАВЛОДАР,ул. Академика Сатпаева,д. 63/1",76.941845 52.282261,exact
36696,590702400231,"ПАВЛОДАР,пр.Тауелсыздык,41",76.968264 52.285522,exact
36794,590720450098,"ПАВЛОДАР,ул. Торайгырова, д. 76/1 Восточный Универсам бут. 12",76.93032 52.299392,near
36882,590803401318,"ПАВЛОДАР,пр.Тауелсыздык,41",76.968264 52.285522,exact
36937,590811401460,"ПАВЛОДАР,1 Мая,4/1",76.950774 52.295652,exact
37053,590831450021,"ПАВЛОДАР,Естая ТД ""КВАЗАР"",81",76.960323 52.280652,exact
37092,590905400156,"ПАВЛОДАР,Лермонтова,82",76.950657 52.291169,exact
37096,590905450152,"ПАВЛОДАР,Айманова,28/1",76.916719 52.300411,exact
37151,590913450433,"ПАВЛОДАР,ул. Торайгырова,д. 1/3",76.928119 52.297332,exact
37174,590917400617,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 15",76.940758 52.294721,exact
37189,590920450095,"ПАВЛОДАР,ул.Камзина , д.168, кв.4",76.984344 52.26278,exact
37207,590923450011,"ПАВЛОДАР,Привокзальная площадь,1",76.970582 52.299546,exact
37254,591001450824,"ПАВЛОДАР,ул. Катаева,д. 79",76.975047 52.269433,exact
37317,591012401053,"ПАВЛОДАР,Торговая,1/8",76.926493 52.308621,number
37402,591026401199,"ПАВЛОДАР,ул. Кутузова,89",76.969827 52.275351,exact
37456,591103400199,"ПАВЛОДАР,ул. 1 Мая, д.15/3",76.952571 52.293124,number
37463,591104400154,"ПАВЛОДАР,ул. Ак. Бектурова, д. 16, бут. 19",76.948052 52.295559,exact
37520,591113401220,"ПАВЛОДАР,Ломова,155",76.979206 52.263822,exact
37645,591203450387,"ПАВЛОДАР,Сатпаева,130",76.940183 52.283891,exact
37689,591213350157,"ПАВЛОДАР,Павлова,24/1",76.97643 52.293295,exact
37809,600101351099,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 41",76.968264 52.285522,exact
37902,600109450010,"ПАВЛОДАР,ул.Естая,81",76.960323 52.280652,exact
38001,600122450359,"ПАВЛОДАР,ул. Лебяжинская, д. 95/2",76.978469 52.251683,number
38121,600207450043,"ПАВЛОДАР,ул. Торайгырова,д. 28/1",76.934937 52.297503,exact
38128,600208401942,"ПАВЛОДАР,ул.Естая, д.81, бут.3.145",76.960323 52.280652,exact
38295,600303401805,"ПАВЛОДАР,Павлова,36/3",76.974714 52.289825,exact
38451,600323400434,"ПАВЛОДАР,ул. Короленко,д. 10",76.955814 52.292067,exact
38593,600415300309,"ПАВЛОДАР,ул. Торайгырова,14",76.931227 52.298186,exact
38623,600419401464,"ПАВЛОДАР,ул. Естая, д. 81, бут. 3.136",76.960323 52.280652,exact
38683,600426450024,"ПАВЛОДАР,ул. Майры,д. 23/1",76.946193 52.249566,number
38684,600426450153,"ПАВЛОДАР,1 мая,15/3",76.952571 52.293124,number
38697,600428301050,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, ТД Артур, б.337",,none
38713,600501400342,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
39029,600623450223,"ПАВЛОДАР,ул. Кутузова,д. 41",76.968264 52.285522,exact
39060,600628450171,"ПАВЛОДАР,пр.Тауелсiздiк, д.30, ТД ""Тулпар"", бут.205",,none
39071,600630400285,"ПАВЛОДАР,Камзина,167",76.986006 52.263056,exact
39142,600713300775,"ПАВЛОДАР,Майры,21",76.945259 52.249235,exact
39154,600715401334,"ПАВЛОДАР,Бекхожина,9",76.952984 52.251226,exact
39198,600721401456,"ПАВЛОДАР,ул. Кутузова, д. 20/2, м-н ""Пышка""",76.96539 52.290128,number
39337,600815301381,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 41",76.968264 52.285522,exact
39352,600817301005,"ПАВЛОДАР,Макажанова,19",76.786257 52.259467,exact
39381,600823400777,"ПАВЛОДАР,пр. Независимости,21",76.967689 52.289775,exact
39498,600914401465,"ПАВЛОДАР,Павлова,67/1",76.98023 52.276189,exact
39546,600921350079,"ПАВЛОДАР,ул. Торайгырова,56",76.95143 52.297299,exact
39589,600927450058,"ПАВЛОДАР,ул. Ломова,д. 58/1",76.959506 52.265349,exact
39609,601001400086,"ПАВЛОДАР,ул. Привокзальная площадь,1",76.970582 52.299546,exact
39621,601004401331,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
39702,601017450380,"ПАВЛОДАР,пр.Тауелсыздык,30",76.965776 52.284823,exact
39723,601022300800,"ПАВЛОДАР,Хабаровская,104",77.013306 52.29254,exact
39755,601028400740,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 29",76.96786 52.288023,exact
39835,601111400107,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
39837,601112300354,"ПАВЛОДАР,ул. Лесная,5",76.998439 52.253536,exact
39940,601125400887,"ПАВЛОДАР,Естая ТД ""КВАЗАР"",81",76.960323 52.280652,exact
39962,601129350135,"ПАВЛОДАР,Проспект Назарбаева,89",76.969827 52.275351,exact
40049,601211450187,"ПАВЛОДАР,Малайсары Батыра,37/3",77.006209 52.288343,number
40066,601215450466,"ПАВЛОДАР,ул.Султанова, д. 18/1",77.012012 52.259357,number
40073,601217350183,"ПАВЛОДАР,ул. Катаева,13",76.97405 52.279186,exact
40087,601218450214,"ПАВЛОДАР,ул. Димитрова, д. 35",77.000146 52.293581,exact
40122,601223300239,"ПАВЛОДАР,ул.Толстого, д.103",76.966171 52.275026,exact
40125,601224400022,"ПАВЛОДАР,Ткачева,17/3",76.94922 52.253679,number
40154,601229401058,"ПАВЛОДАР,Академика Сатпаева,35",76.941477 52.288684,exact
40162,610101300716,"ПАВЛОДАР,Ак. Сатпаева,63/1",76.941845 52.282261,exact
40232,610104350029,"ПАВЛОДАР,ул.Астана,218",76.939752 52.270221,exact
40311,610113450143,"ПАВЛОДАР,Муткенова,48",76.997226 52.293532,exact
40556,610214450231,"ПАВЛОДАР,ул.Ак.Сатпаева, д.63/1, бут.№12",76.940974 52.295526,near
40631,610223450805,"ПАВЛОДАР,1 Мая,15/1",76.952571 52.293124,number
40678,610302350471,"ПАВЛОДАР,Вишневая,1а",76.903532 52.324939,number
41097,610427300168,"ПАВЛОДАР,Ледовского,39/1",76.913386 52.304904,exact
41238,610518401543,"ПАВЛОДАР,Катаева,46/1",76.974076 52.270149,exact
41311,610529450066,"ПАВЛОДАР,ул. Ак. Бектурова, д. 21",76.94728 52.294975,exact
41373,610607450208,"ПАВЛОДАР,Торайгырова,52",76.948852 52.297018,exact
41488,610624400741,"ПАВЛОДАР,ул. Айманова, д. 17, кв. н.п.94",76.924966 52.304508,near
41553,610702450046,"ПАВЛОДАР,Кутузова,41",76.968264 52.285522,exact
41603,610710401507,"ПАВЛОДАР,ул. Катаева,36/2",76.972307 52.275544,exact
41613,610711400960,"ПАВЛОДАР,ул.Привокзальная площадь,1",76.970582 52.299546,exact
41929,610827401008,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 69",76.940722 52.285577,other
41938,610828350104,"ПАВЛОДАР,Мира,52",76.952517 52.298219,exact
41956,610831401199,"ПАВЛОДАР,Промышленная зона Центральный,562",76.940722 52.285577,other
42300,611015450074,"ПАВЛОДАР,ул.Естая, д.81, ТД ""Квазар"", бут.3.133/1",,none
42344,611021401732,"ПАВЛОДАР,1 Мая,21",76.952032 52.292309,exact
42373,611025401497,"ПАВЛОДАР,Академика Чокина,38/1",76.95143 52.267978,exact
42453,611104450167,"ПАВЛОДАР,Лермонтова,109",76.964078 52.291009,exact
42586,611121350410,"ПАВЛОДАР,ул. Российская,2",77.003362 52.2985,exact
42612,611124401346,"ПАВЛОДАР,Астана,160",76.939276 52.277831,number
42653,611129400127,"ПАВЛОДАР,ул.Естая, д.81, бут.2216/1",76.958922 52.281374,street
42661,611130401408,"ПАВЛОДАР,1 Мая,15",76.952571 52.293124,exact
42688,611203300350,"ПАВЛОДАР,ул.Ак.Чокина,89",76.959668 52.267592,exact
42995,620102403400,"ПАВЛОДАР,Тауелсіздік проспект, д. 50/2, бут 114",,none
43006,620103301265,"ПАВЛОДАР,ул. Естая,д. 81",76.960323 52.280652,exact
43035,620104401603,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
43151,620115402027,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
43181,620118402271,"ПАВЛОДАР,ул.Сибирская, д.89 ,кв.105.",77.013261 52.293212,exact
43197,620119450069,"ПАВЛОДАР,ул.Крупской,61",76.949112 52.294435,exact
43281,620128400418,"ПАВЛОДАР,пр.независимости,41",76.968264 52.285522,exact
43471,620215450556,"ПАВЛОДАР,Достоевского,86",76.959578 52.274255,exact
43735,620315450094,"ПАВЛОДАР,ул. Гагарина, д. 70/1",76.982637 52.261474,exact
43932,620405401421,"ПАВЛОДАР,ул. Карла Маркса, д. 242",76.937569 52.272414,exact
44144,620501301803,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
44219,620509450564,"ПАВЛОДАР,1 Мая,15/8",76.952571 52.293124,number
44234,620512301398,"ПАВЛОДАР,ул. Геринга, д. 3/1",76.975379 52.296093,exact
44449,620607300019,"ПАВЛОДАР,ул. Щедрина,163",77.025667 52.295096,exact
44468,620609400224,"ПАВЛОДАР,Камзина,106/4",76.983006 52.27399,number
44510,620614400231,"ПАВЛОДАР,ул. 1 Мая,21",76.952032 52.292309,exact
44584,620622450380,"ПАВЛОДАР,Академика Бектурова,107",76.94851 52.283269,exact
44712,620709450026,"ПАВЛОДАР,Суворова,37/1",77.004943 52.288238,exact
44735,620713350051,"ПАВЛОДАР,ул. Добролюбова,д.19",76.793479 52.264726,exact
44759,620716300150,"ПАВЛОДАР,ул. Пахомова,стр.57/3",76.962228 52.279087,number
44790,620721301186,"ПАВЛОДАР,ул. Ак. Чокина, д. 25/1",76.945268 52.266898,exact
44910,620808400147,"ПАВЛОДАР,Амангельды,11",76.963207 52.255868,exact
44947,620812399072,"ПАВЛОДАР,ул. Кутузова,д. 41",76.968264 52.285522,exact
45012,620821300479,"ПАВЛОДАР,Площадь Победы,3",76.943183 52.286828,exact
45113,620901403335,"ПАВЛОДАР,Жанаул,Жанаульская 6-АЯ,6",78.651114 52.249064,other
45157,620907401460,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
45185,620910401447,"ПАВЛОДАР,Кутузова,41",76.968264 52.285522,exact
45343,620928300887,"ПАВЛОДАР,ул.Кирова,157/7",76.989833 52.282569,number
45346,620928450641,"ПАВЛОДАР,Промышленная зона Восточная,121",77.056129 52.242977,exact
45432,621009400552,"ПАВЛОДАР,Академика Сатпаева,243",76.943192 52.270397,exact
45508,621019450216,"ПАВЛОДАР,Камзина,12",76.981209 52.290987,exact
45619,621101450688,"ПАВЛОДАР,пр.Тауелсiздiк, д.30, бут.№229",76.977203 52.249588,near
45625,621102400260,"ПАВЛОДАР,Славгородская,35",76.984209 52.257996,exact
45681,621107450076,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
45786,621122300184,"ПАВЛОДАР,Чкалова,10/1",76.976259 52.299238,exact
45793,621122450058,"ПАВЛОДАР,1 мая,10",76.951044 52.293196,exact
45816,621127350148,"ПАВЛОДАР,ул. Кутузова,д. 29",76.96786 52.288023,exact
45844,621201350169,"ПАВЛОДАР,ул. Естая,д. 142",76.964231 52.284211,exact
45911,621207400013,"ПАВЛОДАР,ул. 1 Мая,288",76.953469 52.26482,exact
45939,621210400218,"ПАВЛОДАР,ул. Р. Люксембург, д. 113, кв. бут. 2-15",76.940722 52.285577,other
45976,621214450286,"ПАВЛОДАР,ул.Камзина,171",76.985629 52.262251,exact
45978,621215300050,"ПАВЛОДАР,Академика Чокина,143",76.971723 52.267449,exact
45982,621215400939,"ПАВЛОДАР,ул.1Мая,15",76.952571 52.293124,exact
46058,621226400572,"ПАВЛОДАР,Розы Люксембург,113",76.967303 52.270265,exact
46113,630101403209,"Успенский,ПАВЛОДАР,Галицкое,Советов,48",78.142551 53.005834,other
